"IC_1"	"IC_2"	"VC_1"	"VC_2"
197.804797751095	197.452633697686	308.253105748057	257.052837146292
214.226328130431	163.488478047064	136.718319629304	136.559319733968
158.990271399936	180.758387699923	246.262811754646	286.506808069305
68.6718543135876	124.919013155679	185.970881980233	182.079092978624
328.430607586723	336.763238230748	409.305776778412	342.737116195056
243.337222893799	222.206170866784	292.967827777079	222.243598782732
156.750971802754	150.823877634967	180.87578932324	147.269854615063
414.270425478708	176.15307845916	173.233150337751	214.21069762191
213.47989493137	101.316803296772	117.187131110832	131.20405229342
83.6005182948023	252.140680931739	276.833367696602	302.572610390948
285.883915240261	192.847324456924	168.987239790257	160.658023216433
293.348247230869	222.781834521879	308.253105748057	332.026581313961
76.8826195032557	93.2575121254378	150.305233381284	157.980389496159
577.739296073009	725.911869075167	613.109483058119	554.270180096693
114.950712655353	173.850423838779	188.518428308729	171.368558097528
0.746433199060735	29.3588464098601	187.66924619923	136.559319733968
213.47989493137	227.962807417737	269.190728711113	232.954133663827
191.086898959548	101.892466951867	51.8001086794256	64.2632092865731
261.251619671257	386.845976224038	168.138057680758	141.914587174516
259.758753273136	375.908366777228	401.663137792923	232.954133663827
297.080413226172	291.285809478219	233.525080112165	257.052837146292
162.72243739524	142.764586463633	130.774044862812	88.361912769038
341.866405169816	279.196872721218	219.938166360184	219.565965062458
298.573279624294	323.522974163556	253.056268630636	238.309401104375
211.240595334188	336.763238230748	354.95812177049	431.099028964094
283.644615643079	246.384044380786	307.403923638558	358.8029185167
401.581061094675	401.237567601421	501.01744460428	607.82285450217
599.38585884577	746.060097003503	635.188217905088	658.697895187374
260.505186472196	252.140680931739	243.71526542615	251.697569705745
389.638129909703	312.585364716745	332.879386923522	332.026581313961
136.597275428114	81.7442390235319	95.1083962638634	48.1974069649298
774.797660625043	1112.18218164411	825.405010432814	741.704540515864
317.234109600812	369.000402916084	258.151361287629	192.789627859719
579.978595670191	603.295510539869	705.670332993486	664.053162627922
264.2373524675	293.012800443505	322.689201609536	366.835819677521
344.852137966059	169.245114598017	135.869137519805	182.079092978624
214.972761329492	201.482279283353	187.66924619923	214.21069762191
104.500647868503	131.826977016823	124.829770096321	160.658023216433
71.6575871098305	240.051744174738	224.184076907678	251.697569705745
128.386510238446	260.199972103073	261.548089725624	289.184441789579
323.952008392359	229.689798383023	261.548089725624	222.243598782732
275.433850453411	180.182724044827	191.065974637226	166.01329065698
94.0505830816526	138.734940877966	109.544492125343	117.815883692051
54.4896235314336	127.797331431156	133.321591191308	155.302755775885
550.121267707761	625.170729433491	407.607412559414	358.8029185167
1100.24253541552	831.258317957606	520.548633122752	556.947813816967
43.2931255455226	77.7145934378648	172.383968228252	206.177796461089
126.893643840325	245.808380725691	231.826715893167	171.368558097528
65.6861215173446	160.610159771587	146.908504943289	168.690924377254
141.82230782154	264.805281343836	261.548089725624	224.921232503006
113.457846257232	145.067241084014	180.87578932324	179.40145925835
211.987028533249	412.175177048231	198.708613622715	176.723825538076
211.240595334188	195.149979077305	196.161067294218	230.276499943554
93.3041498825918	52.9610562687672	97.6559425923597	128.526418573146
288.869648036504	316.039346647317	231.826715893167	208.855430181362
456.070684626109	511.764989379717	323.538383719035	323.993680153139
284.39104884214	158.307505151206	174.08233244725	131.20405229342
213.47989493137	154.853523220634	111.24285634434	160.658023216433
182.129700570819	182.485378665209	202.954524170208	198.144895300267
144.061607418722	79.4415844031507	110.393674234841	144.592220894789
170.186769385847	380.51367601799	303.158013091065	364.158185957247
509.067441759421	497.373398002335	338.823661690013	423.066127803273
170.186769385847	149.096886669681	136.718319629304	139.236953454242
136.597275428114	149.672550324777	142.662594395795	131.20405229342
197.058364552034	252.716344586835	183.423335651737	259.730470866566
106.739947465685	202.633606593544	216.541437922189	214.21069762191
392.623862705946	430.020750356185	376.18767450796	334.704215034235
83.6005182948023	246.384044380786	213.144709484194	249.019935985471
147.793773414025	80.017248058246	118.885495329829	96.3948139298596
110.472113460989	142.764586463633	93.4100320448658	131.20405229342
141.82230782154	165.791132667445	180.87578932324	176.723825538076
69.4182875126483	143.340250118729	174.931514556749	171.368558097528
142.5687410206	85.1982209541037	130.774044862812	109.782982531229
